Park Name,Category,Scientific Name,Common Names,Observations,T&E
Bryce Canyon National Park,Bird,Cathartes aura,Turkey Vulture,,SC
Bryce Canyon National Park,Bird,Pandion haliaetus,Osprey,,SC
Bryce Canyon National Park,Bird,Anas acuta,Northern Pintail,,
Bryce Canyon National Park,Bird,Anas americana,American Wigeon,,
Bryce Canyon National Park,Bird,Anas clypeata,Northern Shoveler,,
Bryce Canyon National Park,Bird,Anas cyanoptera,Cinnamon Teal,,
Bryce Canyon National Park,Bird,Anas discors,Blue-Winged Teal,,
Bryce Canyon National Park,Bird,Anas strepera,Gadwall,,
Bryce Canyon National Park,Bird,Aythya affinis,Lesser Scaup,,SC
Bryce Canyon National Park,Bird,Aythya americana,Redhead,,
Bryce Canyon National Park,Bird,Aythya collaris,Ring-Necked Duck,,
Bryce Canyon National Park,Bird,Bucephala albeola,Bufflehead,,
Bryce Canyon National Park,Bird,Bucephala clangula,Common Goldeneye,,
Bryce Canyon National Park,Bird,Chen caerulescens,Snow Goose,,
Bryce Canyon National Park,Bird,Cygnus columbianus,Tundra Swan,,
Bryce Canyon National Park,Bird,Mergus merganser,Common Merganser,,
Bryce Canyon National Park,Bird,Mergus serrator,Red-Breasted Merganser,,SC
Bryce Canyon National Park,Bird,Oxyura jamaicensis,Ruddy Duck,,
Bryce Canyon National Park,Bird,Aeronautes saxatalis,White-Throated Swift,,
Bryce Canyon National Park,Bird,Archilochus alexandri,Black-Chinned Hummingbird,,
Bryce Canyon National Park,Bird,Selasphorus platycercus,Broad-Tailed Hummingbird,,
Bryce Canyon National Park,Bird,Selasphorus rufus,Rufous Hummingbird,,SC
Bryce Canyon National Park,Bird,Stellula calliope,Calliope Hummingbird,,SC
Bryce Canyon National Park,Bird,Chordeiles minor,Common Nighthawk,,SC
Bryce Canyon National Park,Bird,Phalaenoptilus nuttallii,Common Poorwill,,SC
Bryce Canyon National Park,Bird,Charadrius vociferus,Killdeer,,
Bryce Canyon National Park,Bird,Pluvialis squatarola,Black-Bellied Plover,,
Bryce Canyon National Park,Bird,Larus californicus,California Gull,,
Bryce Canyon National Park,Bird,Larus delawarensis,Ring-Billed Gull,,SC
Bryce Canyon National Park,Bird,Larus pipixcan,Franklin'S Gull,,
Bryce Canyon National Park,Bird,Sterna forsteri,Forster'S Tern,,
Bryce Canyon National Park,Bird,Himantopus mexicanus,Black-Necked Stilt,,
Bryce Canyon National Park,Bird,Recurvirostra americana,American Avocet,,
Bryce Canyon National Park,Bird,Actitis macularius,Spotted Sandpiper,,
